layer_i,layer_j,meanK
10,37,1.538421649485911e-05
10,38,9.999740721655569e-06
10,39,6.499831469075546e-06
10,40,4.22489045489934e-06
10,41,2.7461787956834657e-06
10,42,1.7850162171941939e-06
10,43,1.1602605411761958e-06
10,44,7.541693517645121e-07
10,45,4.902100786470651e-07
10,46,3.1863655112060043e-07
10,47,2.0711375822859676e-07
10,48,1.3462394284845292e-07
10,49,8.750556285150632e-08
10,50,5.687861585353969e-08
11,0,0.008750783174008674
11,1,0.019150752407734672
11,2,0.03315990190291742
11,3,0.053418417525958814
11,4,0.08374425029812328
11,5,0.12985265331878185
11,6,0.20043328715720482
11,7,0.30878788665218065
11,8,0.4753371263239205
11,9,0.7314691321105583
11,10,1.1254549358718655
11,11,1.7315457083167185
11,12,1.125504710405881
11,13,0.731578061763825
11,14,0.475525740146481
11,15,0.30909173109520566
11,16,0.2009096252118819
11,17,0.13059125638772778
11,18,0.08488431665202176
11,19,0.05517480582381411
11,20,0.03586362378547932
11,21,0.023311355460560016
11,22,0.015152381049365029
11,23,0.00984904768208785
11,24,0.006401880993356926
11,25,0.004161222645682148
11,26,0.0027047947196932494
11,27,0.0017581165678007082
11,28,0.0011427757690704718
11,29,0.0007428042498957164
11,30,0.0004828227624322206
11,31,0.00031383479558098285
11,32,0.00020399261712760684
11,33,0.00013259520113294995
11,34,8.618688073639902e-05
11,35,5.602147247866601e-05
11,36,3.641395711114286e-05
11,37,2.3669072122243405e-05
11,38,1.5384896879459796e-05
11,39,1.0000182971645606e-05
11,40,6.5001189315686064e-06
11,41,4.225077305519712e-06
11,42,2.7463002485868565e-06
11,43,1.7850951615814752e-06
11,44,1.1603118550278967e-06
11,45,7.542027057681628e-07
11,46,4.902317587494392e-07
11,47,3.1865064318713416e-07
11,48,2.0712291807185313e-07
11,49,1.346298967465404e-07
11,50,8.750943288528072e-08
12,0,0.005688009063105563
12,1,0.01244798906502726
12,2,0.021553936236896745
12,3,0.0347219713918727
12,4,0.0544337626937798
12,5,0.08440422465720697
12,6,0.13028163665218587
12,7,0.20071212632391666
12,8,0.3089691321105436
12,9,0.4754549358718574
12,10,0.7315457083167197
12,11,1.125504710405881
12,12,1.7315780617638317
12,13,1.1255257401465086
12,14,0.7315917310952252
12,15,0.4755346252118935
12,16,0.3090975063877259
12,17,0.20091337915201815
12,18,0.13059369644881466
12,19,0.0848859026917296
12,20,0.05517583674962435
12,21,0.03586429388725625
12,22,0.023311791026715246
12,23,0.015152664167365633
12,24,0.009849231708788283
12,25,0.006402000610712169
12,26,0.004161300396963059
12,27,0.0027048452580257544
12,28,0.001758149417716825
12,29,0.001142797121515995
12,30,0.0007428181289853022
12,31,0.00048283178384045063
12,32,0.0003138406594963345
12,33,0.00020399642867258464
12,34,0.00013259767863718557
12,35,8.618849111415147e-05
12,36,5.6022519224204606e-05
12,37,3.641463749574358e-05
12,38,2.3669514372232324e-05
12,39,1.5385184341953526e-05
12,40,1.0000369822266116e-05
12,41,6.50024038447159e-06
12,42,4.225156249906545e-06
12,43,2.7463515624384593e-06
12,44,1.7851285155850696e-06
12,45,1.1603335351302041e-06
12,46,7.542167978347e-07
12,47,4.902409185927682e-07
12,48,3.186565970852395e-07
12,49,2.071267881056303e-07
12,50,1.346324122684674e-07
13,0,0.003697205891018739
13,1,0.0080911928922677
13,2,0.014010058553982617
13,3,0.022569281404717728
13,4,0.03538194575095633
13,5,0.054862746027184175
13,6,0.08468306382391956
13,7,0.13046288211054904
13,8,0.2008299358718523
13,9,0.3090457083167017
13,10,0.4755047104058625
13,11,0.731578061763825
13,12,1.1255257401465086
13,13,1.7315917310952422
13,14,1.1255346252119276
13,15,0.7315975063877345
13,16,0.475538379152033
13,17,0.3090999464488199
13,18,0.20091496519172464
13,19,0.13059472737462263
13,20,0.0848865727935064
13,21,0.05517627231577945
13,22,0.035864577005257595
13,23,0.023311975053416104
13,24,0.015152783784720927
13,25,0.009849309460069263
13,26,0.006402051149044771
13,27,0.00416133324687922
13,28,0.002704866610471198
13,29,0.0017581632968063543
13,30,0.0011428061429242325
13,31,0.0007428239929006527
13,32,0.0004828355953854278
13,33,0.0003138431370005716
13,34,0.00020399803905033804
13,35,0.0001325987253827252
13,36,8.61891714987522e-05
13,37,5.6022961474194254e-05
13,38,3.6414924958235656e-05
13,39,2.3669701222851852e-05
13,40,1.538530579485556e-05
13,41,1.0000448766653068e-05
13,42,6.500291698322796e-06
13,43,4.225189603909751e-06
13,44,2.746373242541281e-06
13,45,1.785142607651559e-06
13,46,1.1603426949733938e-06
13,47,7.542227517328585e-07
13,48,4.902447886266872e-07
13,49,3.1865911260718453e-07
13,50,2.071284231949013e-07
14,0,0.0024031838291621037
14,1,0.005259275379974107
14,2,0.009106538060088645
14,3,0.014670032913066207
14,4,0.022998264738121915
14,5,0.035660784917669004
14,6,0.05504399148554725
14,7,0.0848008733718555
14,8,0.13053945831670752
14,9,0.20087971040585484
14,10,0.3090780617638043
14,11,0.475525740146481
14,12,0.7315917310952252
14,13,1.1255346252119276
14,14,1.7315975063877656
14,15,1.1255383791520652
14,16,0.7315999464488168
14,17,0.475539965191745
14,18,0.3091009773746337
14,19,0.2009156352934996
14,20,0.13059516294077547
14,21,0.08488685591150726
14,22,0.05517645634248035
14,23,0.035864696622613525
14,24,0.023312052804697458
14,25,0.015152834323053569
14,26,0.009849342309985512
14,27,0.006402072501490281
14,28,0.004161347125968784
14,29,0.00270487563187936
14,30,0.0017581691607216523
14,31,0.001142809954469181
14,32,0.0007428264704048884
